Path,Pitch,RMSE,PercentSilence,FrequencyMagnitude
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_2.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[17.935483733755213, 36.85658915173484, 35.44583265625295, 7.325502924088921, 5.994741123175205, 2.0063687120411835, 2.9273517751356675]","[48.07256235827665, 59.47392290249433, 60.17687074829932, 51.51473922902494, 50.22222222222222, 45.342403628117914, 49.02040816326531]","[(3899, 1225.6147884541356), (28818, 254.92881190511787), (49765, 379.13930197510825), (67442, 176.61657765261887), (104585, 379.1393019751083), (125532, 254.9288119051179), (150451, 1225.6147884541354)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_3.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[4.933919397800034, 2.0029437652694817, 3.9966955501031842, 1.7042772337195597, 2.979165870904884, 3.1316042704323386, 2.9759810823071304]","[48.93877551020408, 48.816326530612244, 47.13832199546485, 46.0453514739229, 50.25850340136054, 49.070294784580504, 48.317460317460316]","[(4064, 2307.263782287634), (44072, 299.8656054411827), (49584, 513.0839381494064), (71198, 285.4103111305192), (104766, 513.0839381494065), (110278, 299.8656054411826), (150286, 2307.263782287634)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_4.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[6.421524670237654, 1.7747621539802778, 4.5348969903508465, 3.7015033105576767, 2.155915589849298, 3.834489962762399, 2.8122755533245036]","[46.03628117913833, 48.544217687074834, 48.39909297052154, 47.20181405895691, 47.795918367346935, 50.30839002267574, 47.859410430839]","[(4024, 2056.8550588050034), (24413, 254.74670566298192), (48417, 580.48088834814), (68278, 364.6254714408986), (105933, 580.4808883481398), (129937, 254.74670566298187), (150326, 2056.855058805003)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_5.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[4.585639097684518, 4.224974232991891, 1.869909656012342, 1.7306619503263694, 3.7720257595841153, 2.0769027022197406, 3.292601595499686]","[51.233560090702944, 49.58730158730159, 49.2517006802721, 48.38095238095238, 50.82993197278912, 47.718820861678005, 48.86167800453515]","[(3563, 1805.835779151005), (43085, 268.57074358413166), (50512, 561.8228158577424), (71934, 311.038827109739), (103838, 561.8228158577424), (111265, 268.57074358413166), (150787, 1805.835779151005)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_6.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[5.854059839594113, 2.10601678838776, 2.810885209501499, 1.846257911529392, 2.552847838073614, 3.314862764091231, 1.9939671493678663]","[50.21768707482993, 48.625850340136054, 50.73015873015873, 49.342403628117914, 47.65079365079365, 48.752834467120174, 46.9342403628118]","[(3556, 2356.8723948459624), (43462, 306.12390437229107), (51468, 532.8295361280882), (68829, 395.4933610775874), (102882, 532.8295361280883), (110888, 306.12390437229107), (150794, 2356.872394845962)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_7.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[5.178602273186105, 2.6468112954587144, 3.334281206618817, 4.00758191965343, 3.3894382635480724, 3.0440615465132788, 4.29892322946606]","[49.93197278911564, 48.802721088435376, 48.657596371882086, 48.90249433106576, 48.61224489795918, 50.29478458049886, 50.1859410430839]","[(3679, 2601.210722681616), (42397, 278.4245374557802), (49116, 499.4680275025831), (87125, 378.2984117164511), (105234, 499.46802750258297), (111953, 278.4245374557802), (150671, 2601.2107226816156)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_8.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[4.947787692444129, 7.049046708492651, 21.047759014791588, 2.75059069251819, 2.2554990331714397, 7.498241363680878, 2.647274874470895]","[47.487528344671205, 50.013605442176875, 49.93197278911564, 47.61904761904761, 45.81405895691611, 47.89115646258504, 46.281179138321995]","[(785, 2579.0669885581497), (43288, 287.5125169762018), (49682, 492.9440195968831), (85672, 246.7794539271056), (104668, 492.9440195968831), (111062, 287.5125169762018), (153565, 2579.0669885581497)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_9.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[10.05132270619533, 2.0163707779872873, 2.0661119276025732, 7.440550578203762, 3.721524038237909, 1.7206496711532098, 7.429129806474694]","[46.83446712018141, 47.92743764172336, 46.12244897959184, 51.93197278911564, 48.11791383219954, 46.8843537414966, 49.13832199546485]","[(794, 2469.3391738501496), (43672, 212.15592846585332), (49740, 592.4469355456007), (68506, 271.50043695684394), (104610, 592.4469355456005), (110678, 212.15592846585335), (153556, 2469.339173850149)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/3 máy khoan/khoan_dien_1.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[7.0716921428626565, 139.18428688219757, 9.098270638666387, 19.385306826526566, 3.391711138621239, 4.998513062795003, 13.338449034684649]","[99.70975056689342, 4.081632653061234, 47.0204081632653, 89.6734693877551, 49.50113378684807, 56.82993197278912, 26.308390022675738]","[(5600, 51.306941215234026), (25371, 51.53734473056772), (49947, 20.534166765631014), (86485, 20.07781288178567), (104403, 20.534166765631017), (128979, 51.53734473056772), (148750, 51.306941215234026)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/3 máy khoan/khoan_dien_10.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[31.247153816484783, 5.646897985744069, 10.930516814169962, 4.655764680410357, 10.697515637868838, 4.741167458650168, 4.072500190661577]","[70.19047619047619, 47.12018140589569, 64.86621315192744, 42.6031746031746, 51.6734693877551, 50.8390022675737, 48.317460317460316]","[(3676, 577.3026859706337), (42113, 104.87845855902346), (57363, 489.89380290267934), (66219, 49.007837153642214), (96987, 489.8938029026794), (112237, 104.87845855902344), (150674, 577.3026859706337)]"
